	NR	NRName	CID	EC50
5058	NR1C2	PPAR_delta	6462	0.005
5172	NR1C2	PPAR_delta	6576	0.005
5177	NR1C2	PPAR_delta	6581	0.005
5355	NR1C2	PPAR_delta	6759	0.005
6351	NR1C3	PPAR_gamma	3079	0.005
6362	NR1C3	PPAR_gamma	3090	0.005
6367	NR1C3	PPAR_gamma	3095	0.005
6556	NR1C3	PPAR_gamma	4353	0.005
6558	NR1C3	PPAR_gamma	4355	0.005
6596	NR1C3	PPAR_gamma	4393	0.005
7033	NR1C3	PPAR_gamma	4830	0.005
7680	NR1C3	PPAR_gamma	8045	0.005
7715	NR1C3	PPAR_gamma	8080	0.005
8112	NR1C3	PPAR_gamma	8477	0.005
8119	NR1C3	PPAR_gamma	8484	0.005
8121	NR1C3	PPAR_gamma	8486	0.005
8237	NR1C3	PPAR_gamma	9579	0.005
8248	NR1C3	PPAR_gamma	9590	0.005
8271	NR1C3	PPAR_gamma	9613	0.005
8282	NR1C3	PPAR_gamma	9624	0.005
8305	NR1C3	PPAR_gamma	9647	0.005
8835	NR2B1	RXR_alpha	3410	0.005
8840	NR2B1	RXR_alpha	3415	0.005
8918	NR2B1	RXR_alpha	5964	0.005
9156	NR2B1	RXR_alpha	6202	0.005
9181	NR2B1	RXR_alpha	6227	0.005
9222	NR2B3	RXR_gamma	4276	0.005
9604	NR2B2	RXR_beta	4216	0.005
3288	NR1C1	PPAR_alpha	11139	0.006
3408	NR1C1	PPAR_alpha	11259	0.006
4913	NR1C2	PPAR_delta	2580	0.006
5127	NR1C2	PPAR_delta	6531	0.006
4896	NR1C2	PPAR_delta	2563	0.006
4920	NR1C2	PPAR_delta	2587	0.006
8731	NR2B1	RXR_alpha	3306	0.006
311	NR1H2	LXR_beta	5642	0.006
974	NR1C1	PPAR_alpha	3650	0.006
1393	NR1C1	PPAR_alpha	4948	0.006
1394	NR1C1	PPAR_alpha	4949	0.006
1462	NR1C1	PPAR_alpha	5017	0.006
1744	NR1C1	PPAR_alpha	5299	0.006
2371	NR1C1	PPAR_alpha	8963	0.006
2750	NR1C1	PPAR_alpha	9342	0.006
2987	NR1C1	PPAR_alpha	10838	0.006
2988	NR1C1	PPAR_alpha	10839	0.006
3031	NR1C1	PPAR_alpha	10882	0.006
3923	NR1H3	LXR_alpha	10267	0.006
4412	NR1C2	PPAR_delta	1734	0.006
4925	NR1C2	PPAR_delta	2592	0.006
5032	NR1C2	PPAR_delta	2699	0.006
5384	NR1C2	PPAR_delta	6788	0.006
5525	NR1C2	PPAR_delta	6929	0.006
5584	NR1C2	PPAR_delta	6988	0.006
6111	NR1C3	PPAR_gamma	2839	0.006
6243	NR1C3	PPAR_gamma	2971	0.006
6356	NR1C3	PPAR_gamma	3084	0.006
6368	NR1C3	PPAR_gamma	3096	0.006
6400	NR1C3	PPAR_gamma	3128	0.006
6408	NR1C3	PPAR_gamma	3136	0.006
6412	NR1C3	PPAR_gamma	3140	0.006
6468	NR1C3	PPAR_gamma	3196	0.006
6602	NR1C3	PPAR_gamma	4399	0.006
7043	NR1C3	PPAR_gamma	4840	0.006
7246	NR1C3	PPAR_gamma	6408	0.006
7470	NR1C3	PPAR_gamma	7184	0.006
7674	NR1C3	PPAR_gamma	8039	0.006
7834	NR1C3	PPAR_gamma	8199	0.006
